Term,Meaning_of_term,Dialect type,Meaning_question,correct_answer
إشْبَح,إشْبَح : انظر,Southern,"المهمة: حدد المعنى الصحيح لكلمة 'إشْبَح'.
السؤال: ما هو المعنى الصحيح لكلمة 'إشْبَح'؟
الخيارات:
أ) اجلس
ب) اذهب
ج) انظر
د) تحدث",ج
إشقح ( الأحساء ),اقفز على الحاجز,Central,"المهمة: تحديد المعنى الصحيح للكلمة.
السؤال: ما معنى كلمة 'إشقح'?
الخيارات:
أ) اقفز على الحاجز
ب) اجلس بهدوء
ج) أسرع في المشي
د) استرح قليلًا",أ
إشِّكْلو,كلمة يطلقها الشخص عندما لا يفهم ما يقوله الطرف الآخر و تطلق أيضا عند سماع عبارة غريبة أو غامضة من الطرف الآخر و يقصد مطلق هذه العبارة في العادة الطلب من الطرف الآخر توضيح ماذا يقصد,Western,"المهمة: حدد المعنى الصحيح لكلمة 'إشِّكْلو'.
السؤال: ما معنى كلمة 'إشِّكْلو'؟
الخيارات:
أ) كلمة تستخدم لدعوة الآخرين للتحدث
ب) كلمة تعبر عن عدم الفهم عندما يسأل شخص عن شيء غامض
ج) كلمة تعني 'نعم' في اللهجة السعودية
د) كلمة تدل على التعجب",ب
إشّيكلُو,تقال للاستغراب,Western,"المهمة: حدد المعنى الصحيح لكلمة 'إشّيكلُو'.
السؤال: ما معنى كلمة 'إشّيكلُو' في اللهجة الحجازية؟
الخيارات:
أ) تعبير للتعجب
ب) اتحمس كثيرًا
ج) صرخات فرح
د) تساؤل عن الاتجاه",أ
إفحز,افحز تأتي بمعنى : أزِح . أي افسح المكان ليجلس احد . ( لا تأتي إلا دلالةً على مكان الجلوس),Central,"المهمة: حدد المعنى الصحيح لكلمة 'إفحز'.
السؤال: ما هي المعنى المناسب لكلمة 'إفحز'؟
الخيارات:
أ) أزِح
ب) اجلس
ج) مشي
د) افتح",أ
إكرم,إكرم: تعني الاكتفاء من القهوة,General,"المهمة: حدد المعنى الصحيح لكلمة 'إكرم'.
السؤال: ماذا تعني كلمة 'إكرم'؟
الخيارات:
أ) الاكتفاء من القهوة
ب) الاهتمام بالضيف
ج) تقديم الطعام
د) السعادة بالزيارة",أ
إلّا,كلمة تأتي بمعنى نفى او عكس الموقف . معناها : بلى,General,"المهمة: حدد المعنى الصحيح لكلمة 'إلّا'.
السؤال: ماذا تعني كلمة 'إلّا'؟
الخيارات:
أ) كلمة تدل على التأكيد
ب) كلمة تأتي بمعنى نفى
ج) كلمة تستخدم للسؤال
د) كلمة تعني الفرح",ب
إلفز,إلفزه >>يعني خبأه أو إتركه أو ألقيه في مكان لايعلم أحد .,General,"المهمة: تحديد المعنى الصحيح للكلمة 'إلفز'.
السؤال: ما هو المعنى الصحيح لكلمة 'إلفز'؟
الخيارات:
أ) خبأه
ب) ألقاه
ج) احتفظ به
د) أعطاه",أ
إلين,إلين: حرف جر مرادف لكلمة إلى. ملاحظة/ الكلمة منحوتة من (إلى-أين),General,"المهمة: حدد المعنى الصحيح لكلمة 'إلين'.
السؤال: ما معنى كلمة 'إلين'؟
الخيارات:
أ) حرف جر مرادف لكلمة منذ
ب) حرف جر مرادف لكلمة إلى
ج) حرف جر مرادف لكلمة عن
د) حرف عطف",ب
قوطه,هذا كلمه معناها طماطم,Southern,"المهمة: حدد المعنى الصحيح لكلمة 'قوطه'.
السؤال: ما هو معنى كلمة 'قوطه'؟
الخيارات:
أ) بطاطس
ب) طماطم
ج) خيار
د) جزر",ب
إنطم,بمعنى : اخرس ويقولها عادة الشخص الضجران للشخص الاخر اذا خالفه في وجهة النظر,Central,"المهمة: اختر المعنى الصحيح لكلمة 'إنطم'.
السؤال: ما هو المعنى الصحيح لكلمة 'إنطم'؟
الخيارات:
أ) تكلم بصوت عالٍ
ب) اخرس
ج) تعال هنا
د) اذهب بعيدًا",ب
إنقلع,تعني أغرب عن وجهي .,General,"المهمة: حدد المعنى الصحيح لكلمة 'إنقلع'.
السؤال: ما هو المعنى الصحيح لكلمة 'إنقلع'؟
الخيارات:
أ) اغرب عن وجهي
ب) تعال إلي
ج) اجلس هنا
د) ساعدني",أ
إيت,تعال. هذا المصطلح من منطقة حائل.,Northern,"المهمة: حدد المعنى الصحيح لكلمة 'إيت'.
السؤال: ما معنى كلمة 'إيت'؟
الخيارات:
أ) تعال
ب) اذهب
ج) أكل
د) حسن",أ
مسفح,يعني طاير في العجة وهو ماعنده ماعند جدتي يعني بالعربي الفصيح من جنب العارضة,Central,"المهمة: حدد المعنى الصحيح للفظ 'مسفح'.
السؤال: ما هو معنى كلمة 'مسفح'?
الخيارات:
أ) طاير في العجة
ب) ماعنده قدرة
ج) يعمل بجد
د) لديه خبرة",أ
إيوة,بمعنى (نعم),Southern,"المهمة: حدد معنى كلمة 'إيوة'.
السؤال: ما هو المعنى الصحيح لكلمة 'إيوة'؟
الخيارات:
أ) لا
ب) نعم
ج) ربما
د) بالتأكيد",ب
كلبوهم.,كلبوهم: أي جميعهم. ملاحظة: الكلمة تعرضت لظاهرة النحت. وأصلها كل أبوهم.,General,"المهمة: حدد المعنى الصحيح لعبارة 'كلبوهم'.
السؤال: ماذا تعني عبارة 'كلبوهم'؟
الخيارات:
أ) جميعهم
ب) بعضهم
ج) لا أحد
د) الكثيرون",أ
ابزم,اسكت,General,"المهمة: حدد المعنى الصحيح لكلمة 'ابزم'.
السؤال: ما معنى كلمة 'ابزم'؟
الخيارات:
أ) تحدث
ب) ابعد
ج) اسكت
د) العب",ج
ابك,هو مصطلح ل قبيلتي عنزه و عتيبة و تعني انصت و استمع ولكن من قلة الادب ان تقولها ل من هم اكبر منك سناً,Central,"المهمة: حدد المعنى الصحيح لكلمة 'ابك'.
السؤال: ما هو المعنى المباشر لكلمة 'ابك' في اللهجة السعودية؟
الخيارات:
أ) أنصت واستمع
ب) اضحك واستمتع
ج) دعني أراك
د) اذهب بعيداً",أ
ابلش,أَبْلَشْ : أزعج و أضجر وأصبح كالشوكة في الحلق,Northern,"المهمة: حدد المعنى الصحيح لكلمة 'ابلش'.
السؤال: ما معنى كلمة 'ابلش' في اللهجة السعودية؟
الخيارات:
أ) أزعج وأضجر
ب) شجع وأيد
ج) حزن واهتم
د) ساعد ودعم",أ
ابلع,كلمة تختصر الفرحة عن الفوز,Central,"المهمة: اختر المعنى الصحيح لكلمة 'ابلع'.
السؤال: ما هو المعنى الصحيح لكلمة 'ابلع'?
الخيارات:
أ) كلمة تعبر عن الحزن
ب) كلمة تختصر الفرحة عن الفوز
ج) كلمة تصف حالة الحيرة
د) كلمة تستخدم في المجاملات",ب
عذروب,تعني العيب أو النقص في الشيء الجمع عذاريب,Central,"المهمة: حدد المعنى الصحيح للكلمة 'عذروب'.
السؤال: ماذا تعني كلمة 'عذروب'؟
الخيارات:
أ) العيب أو النقص
ب) الكمال
ج) الإتقان
د) الثمن الباهظ",أ
اتمرمط,شخص تعب من كثرة العمل الفوق الطبيعي,Western,"المهمة: اختر المعنى الصحيح لكلمة 'اتمرمط'.
السؤال: ما هو المعنى الصحيح لكلمة 'اتمرمط'؟
الخيارات:
أ) شخص تعب من كثرة العمل الفوق الطبيعي
ب) شخص يرتاح بعد فترة عمل
ج) شخص يهوى الرياضة
د) شخص ينام لفترات طويلة",أ
ابونا,زوجي او رجلي او ابو عيالي.,General,"المهمة: اختر المعنى الصحيح لكلمة 'ابونا'.
السؤال: ما هو المعنى الصحيح لكلمة 'ابونا'؟
الخيارات:
أ) والد الزعيم
ب) زوجي أو رجلي أو أبو عيالي
ج) ابن العم
د) صديق الطفولة",ب
عانيه,تعني هذا هو,Southern,"المهمة: اختر المعنى الصحيح لعبارة 'عانيه'.
السؤال: ما هو المعنى الصحيح لعبارة 'عانيه'?
الخيارات:
أ) تعني هذا هو
ب) تعني لا أدري
ج) تعني انتبه
د) تعني قريب",أ
اتعربش,تسلق,Southern,"المهمة: اختر المعنى الصحيح لكلمة 'اتعربش'.
السؤال: ما هو المعنى الصحيح لكلمة 'اتعربش'؟
الخيارات:
أ) تسلق
ب) استرخى
ج) تمشى
د) اجلس",أ
اتلحلح,لحلح الشيئ اي ازاحه من مكانه الثابت,Western,"المهمة: حدد المعنى الصحيح لكلمة 'اتلحلح'.
السؤال: ما هو معنى كلمة 'اتلحلح'؟
الخيارات:
أ) زراعة النباتات
ب) إزاحة الشيء من مكانه الثابت
ج) اللعب مع الأصدقاء
د) الذهاب إلى السوق",ب
اتمردغ,اتمردغ يعني تببهذل واتمرمط واتلطش,Southern,"المهمة: اختر المعنى الصحيح لكلمة 'اتمردغ'.
السؤال: ما معنى كلمة 'اتمردغ'؟
الخيارات:
أ) اتبهدل واتمرمط واتلطش
ب) استرخى في مكانه
ج) تعلم شيئًا جديدًا
د) أكل وشرب في السوق",أ
طحش,طحش معناها الشخص السمين (الهرش),Central,"المهمة: حدد المعنى الصحيح لكلمة 'طحش'.
السؤال: ما هو المعنى الصحيح لكلمة 'طحش'?
الخيارات:
أ) الشخص السمين (الهرش)
ب) الشخص النحيف
ج) الشخص العابس
د) الشخص الذكي",أ
ارحب,تقال للترحيب بالشخص,General,"المهمة: حدد المعنى الصحيح لكلمة 'أرحب'.
السؤال: ما هو المعنى المفهوم لكلمة 'أرحب'؟
الخيارات:
أ) تعبير عن الوداع
ب) تعبير عن الترحيب
ج) تعبير عن الحزن
د) تعبير عن الشكر",ب
اثره,(اثره) كلمه تعني صار او لكنه,Central,"المهمة: اختر المعنى الصحيح لكلمة 'اثره'.
السؤال: ما معنى كلمة 'اثره' في اللهجة النجدية؟
الخيارات:
أ) يحترق
ب) صار أو لكنه
ج) يبتسم
د) ينتهي",ب
اجادي,أجادى= اركز على الهدف لأصابته بدقة (فى رمى الحجر او النبل),Southern,"المهمة: حدد المعنى الصحيح لكلمة 'اجادي'.
السؤال: ما هو معنى كلمة 'اجادي'؟
الخيارات:
أ) أركز على الهدف لأصابته بدقة
ب) أتحرك بسرعات مختلفة
ج) ألتقط الصور بشكل مستمر
د) أتفاوض مع الآخرين",أ
اجغده,"اجغده: هي كلمة تعني الحقه بسرعة، ومشتقة من الفعل ""جغد"" وهو يعني الركض تستعمل الكلمة في نجد النائية، وتكاد لا توجد في المدن",Central,"المهمة: اختر المعنى الصحيح لكلمة اجغده.
السؤال: ما هو المعنى الصحيح لكلمة 'اجغده'؟
الخيارات:
أ) استخدمها ببطء
ب) الحقها بسرعة
ج) اتركها وحيدة
د) تعال إلينا",ب
اجغفه,اي يقبل,Central,"المهمة: حدد المعنى الصحيح لكلمة 'اجغفه'.
السؤال: ما معنى كلمة 'اجغفه'؟
الخيارات:
أ) يقبل
ب) يرفض
ج) يبتسم
د) يشكر",أ
اجغفها,ان يحضن الشخص بقوة,Central,"المهمة: تحديد المعنى الصحيح للكلمة.
السؤال: ما هو معنى كلمة 'اجغفها'?
الخيارات:
أ) يحضن الشخص بقوة
ب) يرحل بعيداً
ج) يتحادث مع الأصدقاء
د) يأخذ قسطاً من الراحة",أ
اجفى,اجْفَى للولد اجْفِي للبنت وكل الكلمتان تعني انتظر,General,"المهمة: اختر المعنى الصحيح لكلمة 'اجفى'.
السؤال: ما معنى كلمة 'اجفى' في اللهجة السعودية؟
الخيارات:
أ) انتظر
ب) اذهب
ج) استرح
د) تحدث",أ
اجمح,اركض بشدة,Central,"المهمة: اختر المعنى الصحيح لكلمة 'اجمح'.
السؤال: ما معنى كلمة 'اجمح'؟
الخيارات:
أ) اركض بشدة
ب) امش ببطء
ج) اقف ساكناً
د) استرح",أ
اجنده,اَجِنْدَة ، اجندات كلمة إنݠليزية الاصل : agenda اجنده تعني: -جدول اعمال -قائمة من الاهداف او المشاريع. تستخدم مجازياً على الافلام التي تحتوي على افكار ومفاهيم مدفوعة سياسيًا لتحقيق اهداف معينة(غالبا ما تكون اهداف الحزب اليساري الامريكي، حقوق المثليين والنسويات، والاشتراكية الاقتصادية),General,"المهمة: اختبر معرفتك بمعنى كلمة 'اجنده'.
السؤال: ما معنى كلمة 'اجنده'؟
الخيارات:
أ) قائمة من الأهداف أو المشاريع
ب) نوع من الأطعمة
ج) مكان للزيارة
د) مهنة معينة",أ
