Term,Meaning_of_term,Dialect type,Fill_in_Blank_question,correct_answer
الهيس الأربد,الهيس الأربد: صفة تطلق على الشخص الكسلان، المهمل، الثقيل الحركة، الذي ليس لديه طموح.,Central,"المهمة: أكمل الجملة بكلمة مناسبة.
السؤال: يعتبر الشخص الذي لا يعمل ويميل للكسل __________.
الخيارات:
أ) طموح
ب) الهيس الأربد
ج) مجتهد
د) نشيط",ب
الوجه الودر,الوجه القبيح الذي يجلب النكد والهم.,Central,"المهمة: أكمل الجملة التالية.
السؤال: الوجه الودر يعني ________.
الخيارات:
أ) الوجه الجميل الذي يجلب السعادة.
ب) الوجه القبيح الذي يجلب النكد والهم.
ج) الوجه الصافي الذي يضيء.
د) الوجه العابس الذي يعبر عن الفرح.",ب
امّا حبا ولا برك,اما يتقدم حبواً، بشكل بطيء، او يبرك، اي يتوقف في مكانه. بمعنى انه اما يقدم اقل المطلوب او لا يقدم شيء تقال عادة للشخص الذي لا يوجد حل وسط عنده.,General,"المهمة: أكمل الجملة التالية بالعبارة المناسبة.
السؤال: عندما لا يجد الشخص حلاً وسطاً، يمكن أن يقال أنه '____'.
الخيارات:
أ) حبا
ب) برك
ج) امّا حبا ولا برك
د) يقدم شيئاً",ج
انحي راسك,اقول روح وراك وتلحق وراه,Western,"المهمة: أكمل الجملة التالية باستخدام الكلمة الصحيحة.
السؤال: عندما قال لي صديقي 'انحي راسك'، كان يقصد __________.
الخيارات:
أ) اخرج بسرعة
ب) توجه للخلف
ج) كن أكثر احترامًا
د) ابدأ في اللعب",ب
ما صفطناكم,ما شبعنا منكم,Western,"المهمة: قم بملء الفراغ بالكلمة المناسبة (تعبير لهجي).
السؤال: طولنا معكم الليلة، ولسه ____ من سوالفكم.
الخيارات:
أ) ما صفطناكم
ب) اندر بره
ج) زبد له
د) سامج",أ
الموضوع تسايد,الموضوع كبير,Central,"المهمة: قم بملء الفراغ بالكلمة المناسبة.
السؤال: لا تستعجل بالحكم، ___ ويحتاج تفكير.
الخيارات:
أ) الموضوع تسايد
ب) ما عليك زود
ج) عطنا الزبدة
د) أسفر الصبح",أ
اها عاد,كلمة تقال عند الحساويه وتعني (هيا بسرعه ) او بالعاميه يالله بسرعه,Eastern,"المهمة: أكمل الجملة التالية.
السؤال: عندما أريد من أحدٍ أن يأتي بسرعة أقول له: '____ عاد' 
الخيارات:
أ) اذهب
ب) تعال
ج) انتظر
د) ارحل",ب
اهب ياوجهه,تعني انك تروح لشخص وتشوف معه مال او شيء وتقول له اهب يا وجهه يعني انت هنا تقصد انك تعطيه عين والعين هي من العين والحسد,General,"### نوع السؤال: املأ الفراغ 
المهمة: اختر الجواب الصحيح دون أي ملاحظات إضافية. 
السؤال: في الجملة ""عندما رأى محمد سيارة صالح، قال: يا وجهه!"" 
الخيارات: 
A) اذكر الله 
B) اهب 
C) تعال 
D) فكر",B
اهرج,اتكلم,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما يتحدث شخص مع أصدقائه، يقول لهم '_______' بمعنى اتكلم.
الخيارات:
أ) اهرب
ب) اهرج
ج) ألعب
د) أنام",ب
اولااه,هي كلمة ترجي أو إستعطاف ( تقابل تكفى ).,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما نريد أن نطلب شيء بأدب نقول '________'.
الخيارات:
أ) اولااه
ب) لا
ج) نعم
د) اجلس",أ
اُولّه,تستخدم في حال حدوث شي مفاجئ مثل كي لاكن تكون كتعجب,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما رأيت المفاجأة، قلت '______'!
الخيارات:
أ) حبيبي
ب) اُولّه
ج) تعال
د) لا بأس",ب
اويل ويلي ويلاه,تقال عند المصيبة مثل عندما تقابل صديقك النشبه الي غصب يقلط و انت طفران جداً,Central,"المهمة: أكمل الفراغ باستخدام العبارة المناسبة.
السؤال: عندما أقابل صديقي وأكون في وضع مالي سيئ أقول: __________.
الخيارات:
أ) هلا والله
ب) أويل ويلي ويلاه
ج) كيف حالك
د) يا هلا",ب
ايش بامك انت,ايش بامك انت هي كلمة جداوية تعني ماذا بك او ماذا تريد,Western,"المهمة: املأ الفراغ بما يناسب.
السؤال: ما يؤدي إلى عبارة 'ايش بامك انت' هو ______.
الخيارات:
أ) ماذا تريد
ب) أين تذهب
ج) كيف حالك
د) ما اسمك
الإجابة الصحيحة:",
ايش بك,ماذا دهاك,General,"المهمة: أكمل العبارة التالية.
السؤال: العبارة 'ايش بك' تعني ______.
الخيارات:
أ) أين أنت؟
ب) لماذا تأخرت؟
ج) ماذا دهاك؟
د) ماذا قلت؟",ج
ب خشم الريال,"عبارة جديدة دارجة وشائعة في المجتمع السعودي: ولو فككنا الكلمة وإظهارنا معناها الحرفي، سيبدو لنا التالي: خشم: تعني أنف الريال: هي العملة السعودية ""أنف الريال""؟ >> غير مفهومة؟! المعنى المجازي: هو: أي رغم أنف من لا يرضى، نشتري أي شيء نريده ب المال (الريال)",General,"المهمة: إكمال الجملة بالتعبير المناسب.
السؤال: عندما أقول 'أقدر أشتري هالمنتج ________', فإنني أعبر عن قدرتي على الشراء رغم الاعتراض.
الخيارات:
أ) بدون مشاكل
ب) بخشم الريال
ج) بسعر رخيص
د) ببطاقة ائتمانية",ب
بارد صارد,صفة تطلق على الطعام الذي استمر فترة طويلة بعد إعداده ولم يتم تناوله نظراً لانشغال متناوليه في أمر ما.,Western,"### نوع السؤال: املأ الفراغ
- المهمة: اختر الجواب الصحيح دون أي ملاحظات إضافية.
- السؤال: ""الأم تقول: يا عيال ترى الغدا صار .""
- الخيارات: 
 A) طازج 
 B) بارد صارد 
 C) مقلي 
 D) مشوي 
-",B
زردمت سبدي,زردمت سبدي اي الشعور بالغثيان,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما أشعر بالغثيان، أقول '______ سبدي'.
الخيارات:
أ) زردمت
ب) خذلت
ج) رأيت
د) زرت",أ
ادّحدرت من الدّحديرة,اتزحلقت من النزلة,Western,"المهمة: قم بملء الفراغ بالكلمة المناسبة.
السؤال: بسبب الأرض الزلقة، ___ وتجرحت.
الخيارات:
أ) ادّحدرت من الدّحديرة
ب) عطنا الزبدة
ج) الموضوع تسايد
د) ما عليك زود",أ
بس يا حمزة,تقال عند المبالغة أو الكذب الزاايد,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما يبالغ شخص في حديثه، قد نرد عليه بعبارة '________ يا حمزة'.
الخيارات:
أ) عجيب
ب) بس
ج) عادي
د) ها",ب
سردادي مردادي,راح جاي,General,"المهمة: أكمل الجملة بكلمة مناسبة.
السؤال: عندما نكون في المطبخ، كثيرًا ما نسمع كلمة 'سردادي مردادي' تعني __________.
الخيارات:
أ) الاسترخاء
ب) راح جاي
ج) البقاء
د) اللعب",ب
بطّيت جبدي,كلمة شرقاوية ووايضا عند اهل الخليج وتعني: قهرتني ، نرفزتني ، طفّشتني,Eastern,"المهمة: أكمل الجملة باستخدام الكلمة المناسبة.
السؤال: كل شوي تكلمني بنفس الموضوع، تراك _______.
الخيارات:
أ) فرحتني
ب) بطّيت جبدي
ج) شجعتني
د) ساعدتني",ب
بعلمك شغلك,تستخدم لتهديد يعني ساريك ,General,"المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: إذا عدت وقلت هالكلام مره ثانية، __________!
الخيارات:
أ) بعلمك شغلك
ب) يعطيك العافية
ج) كأنك ما قلت شي
د) لا تهتم",أ
اشبك مصرفدة,لماذا مستعجلة,Western,"المهمة: قم بملء الفراغ بالكلمة المناسبة (تعبير لهجي).
السؤال: اشبك ____؟ ما فيه شيء يستاهل العجلة.
الخيارات:
أ) مصرفدة
ب) المجس
ج) طاقة
د) مفلم",أ
بقرة ابها,تقال للانثى الغبيّة او التي لا تحسن التصرف. استخدامها محدود,Southern,"المهمة: أكمل الجملة باستخدام العبارة المناسبة.
السؤال: عندما تُخطئ أختي في تصرفها، تقول والدتي: 'لا تكوني _____ يا بقرة ابها.'
الخيارات:
أ) ذكية
ب) غبية
ج) مثقفة
د) سريعة",ب
بقعا تصوعك,بقعا:(جنيّه) مشتهرة بين أهل الجنوب. وتصوعك: أي تتلآعب فيك وتسكنك. وهي عباره منتشرة بين أهل الجنوب. وإذا وُجّهت للأنثى تصبح. (بقعا تصوعش),Southern,"المهمة: أكمل الجملة التالية بشكل صحيح.
السؤال: إذا قيل لك 'بقعا تصوعك'، فهذا يعني أنك ____.
الخيارات:
أ) تستمتع بحياتك
ب) تتلقى اهتماماً
ج) تشعر بالوحدة
د) تلعب مع الآخرين",ب
بقعى تصوعك واخرى تروعك,جنيه تصيبك وتدخل فيك واخرى (اي الجنيه الثانيه )تخيفك,Southern,"### نوع السؤال: املأ الفراغ
المهمة: اختر الجواب الصحيح فقط دون أي ملاحظات إضافية.
السؤال: في الجملة ""امل عطيني مويه ماابغى واخرى تروعك""، نحتاج إلى كلمة تعبر عن ""بقعى"" باللغة العربية الفصحى.
الخيارات: 
A) جمل 
B) جنيه 
C) صديق 
D) كتاب",B
بلا زناوه,لا تلف وتدور او لا تكذب.,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: إذا قال شخص لك 'بلا زناوه' فماذا يعني؟ يعني أنه لا _____.
الخيارات:
أ) يلف ويدور
ب) يكذب
ج) يعمل بجد
د) يأكل طعامه",أ
